Date,Open,High,Low,Close,Adj Close,Volume
4/1/20,247.979996,257.660004,243.899994,246.149994,232.498169,189554600
4/2/20,245.190002,252.679993,244.589996,251.830002,237.86319,177660400
4/3/20,250.759995,253.320007,245.220001,248.190002,234.425034,135561200
4/6/20,257.839996,267,248.169998,264.859985,250.170502,188061200
4/7/20,274.209991,275.029999,264.890015,265.130005,250.425491,201427200
4/8/20,267.959991,276,265.25,274.029999,258.831909,153774500
4/9/20,277.579987,281.200012,275.470001,278.200012,262.77063,189999200
4/13/20,277.140015,277.51001,271.410004,275.660004,260.371521,114839100
4/14/20,280.980011,284.899994,275.51001,283.790009,268.050598,134143400
4/15/20,277.570007,283.940002,275.459991,277.76001,262.355042,121775000
4/16/20,279.149994,280.029999,275.76001,279.100006,263.620728,131798300
4/17/20,285.380005,287.299988,282.399994,286.640015,270.742615,146684800
4/20/20,282.609985,286.790009,281.350006,281.589996,265.972656,100109300
4/21/20,276.730011,278.040009,272.019989,273.040009,257.89682,126385700
4/22/20,278.350006,281,276.910004,279.100006,263.620728,92951600
4/23/20,280.48999,283.940002,278.75,279.079987,263.601868,104709700
4/24/20,280.730011,283.700012,278.5,282.970001,267.276154,85063200
4/27/20,285.119995,288.269989,284.619995,287.049988,271.12973,77896600
4/28/20,291.019989,291.399994,285.399994,285.730011,269.883057,105270000
4/29/20,291.529999,294.880005,290.410004,293.209991,276.948181,118745600
4/30/20,291.709991,293.320007,288.589996,290.480011,274.369537,122901700
5/1/20,285.309998,290.660004,281.519989,282.790009,267.106171,125180000
5/4/20,280.73999,283.899994,279.130005,283.570007,267.842743,80873200
5/5/20,286.640015,289.25,283.709991,286.190002,270.317444,79569900
5/6/20,288.040009,288.459991,283.779999,284.25,268.485107,73632600
5/7/20,287.75,289.779999,287.130005,287.679993,271.724915,75250400
5/8/20,291.089996,292.950012,289.859985,292.440002,276.220825,76452400
5/11/20,290.339996,294,289.880005,292.5,276.277557,79514200
5/12/20,293.790009,294.23999,286.519989,286.670013,270.770874,95870800
5/13/20,286.059998,287.190002,278.959991,281.600006,265.982056,144721100
5/14/20,278.950012,285.109985,272.98999,284.970001,269.165192,121977900
5/15/20,282.369995,286.329987,281.339996,286.279999,270.402527,111146300
5/18/20,293.049988,296.75,292.700012,295,278.638885,119703800
5/19/20,294.350006,296.209991,291.950012,291.970001,275.776886,95189300
5/20/20,295.820007,297.869995,295.570007,296.929993,280.461823,85861700
5/21/20,296.790009,297.670013,293.690002,294.880005,278.525574,78293900
5/22/20,294.570007,295.630005,293.220001,295.440002,279.054413,63958200
5/26/20,301.929993,302.190002,295.459991,299.079987,282.492554,88951400
5/27/20,302.119995,303.570007,296.869995,303.529999,286.695831,104817400
5/28/20,304.649994,306.839996,302.23999,302.970001,286.16687,90405200
